neo_reference_id,name,absolute_magnitude_h,min_diameter_m,max_diameter_m,close_approach_date,epoch_date_close_approach,miss_distance_km,relative_velocity_kph,is_potentially_hazardous,is_sentry_object
54432231,(2024 FF4),24.2,38.4197891064,85.9092601232,2024-04-18,1713418920000,6165055.096653547,46918.0401407406,False,False
54432473,(2024 GV),24.17,38.9542616126,87.1043769791,2024-04-18,1713462540000,10122289.506554767,34542.8280189917,False,False
54432844,(2024 GD1),24.75,29.8232505153,66.6868154623,2024-04-18,1713482880000,11231646.498940611,37581.6592032919,False,False
54434080,(2024 GL5),25.69,19.3443872046,43.2553647725,2024-04-18,1713475260000,6414018.041076662,42193.3638854614,False,False
54434344,(2024 GA6),27.43,8.6807045791,19.4106455316,2024-04-18,1713458220000,1030229.697333774,25443.6001762807,False,False
54438015,(2024 HP1),24.39,35.2009980055,78.7118244161,2024-04-18,1713407400000,6713703.549543255,35640.4480199633,False,False
54440654,(2024 JU6),21.78,117.09948272,261.8424034921,2024-04-18,1713399660000,32180591.255490504,39081.7662830863,False,False
2439437,439437 (2013 NK4),18.93,435.0658313955,972.8367736878,2024-04-15,1713192660000,3256650.994287438,59362.9678339135,True,False
2517681,517681 (2015 DE198),18.87,447.2547654325,1000.0920587679,2024-04-15,1713190080000,7029328.097707081,51051.4664999188,True,False
3550304,(2010 VH1),21.4,139.4938229344,311.9176705226,2024-04-15,1713162780000,37089634.81289067,86285.9064541399,False,False
54055108,(2020 TB3),25.6,20.1629919443,45.0858206172,2024-04-15,1713223440000,53409974.76718555,65042.7992583419,False,False
54194977,(2021 RT7),26.13,15.796285576,35.3215683399,2024-04-15,1713141120000,49287756.18179717,58807.7872615678,False,False
54432234,(2024 FJ4),25.28,23.3644184974,52.2444280149,2024-04-15,1713202200000,5454093.927199994,34239.5683393823,False,False
54433098,(2024 GO1),27.23,9.5182032982,21.2833495984,2024-04-15,1713160620000,3239947.688991949,32631.6654353751,False,True
54433330,(2024 GC2),25.11,25.2670754154,56.4988982214,2024-04-15,1713158400000,11942099.439550417,56381.819084824,False,False
54433335,(2024 GL2),27.27,9.3444765092,20.8948846888,2024-04-15,1713157260000,4186539.850131235,31077.9421408826,False,False
54434347,(2024 GZ5),30.3,2.3150212221,5.176544822,2024-04-15,1713199620000,68608.440501317,18135.1199720907,False,True
54434770,(2024 HE),27.24,9.4744711265,21.1855614896,2024-04-15,1713150900000,835111.85833486,55287.130319334,False,False
54435204,(2024 HN),24.34,36.0209345803,80.5452583346,2024-04-15,1713208140000,9569036.98473858,33567.5006594793,False,False
3616688,(2012 VD6),25.6,20.1629919443,45.0858206172,2024-04-16,1713293640000,69790169.24814145,28733.1654332975,False,False
3774362,(2017 HC49),22.41,87.6102614968,195.9025002333,2024-04-16,1713267120000,37979969.15415839,56993.1513211382,False,False
54135429,(2021 GW3),28.43,5.4771543095,12.2472893592,2024-04-16,1713304020000,37324189.1636658,65478.1380663787,False,False
54430098,(2024 EO2),19.08,406.0270582797,907.9041030176,2024-04-16,1713300540000,29095711.78181084,106721.2160542112,False,False
54433553,(2024 GN2),26.3,14.6067964271,32.6617897446,2024-04-16,1713277140000,467091.119956931,66636.341603964,False,False
54433569,(2024 GF3),25.72,19.078972262,42.6618789186,2024-04-16,1713292680000,5316104.253520514,46426.9843189879,False,False
54434540,(2024 GK6),26.79,11.6561459469,26.0639346928,2024-04-16,1713273240000,3060138.768502041,29707.0933684523,False,False
54434763,(2024 HA),31.77,1.1763998937,2.6305101311,2024-04-16,1713289320000,15555.126683452,70062.3932910548,False,True
54440650,(2024 JD6),20.33,228.3257940161,510.5519964367,2024-04-16,1713245640000,53388070.25810568,114790.8347955169,False,False
3638430,(2013 JR22),20.87,178.0553291829,398.1438198091,2024-04-19,1713513540000,18729184.7385918,75893.4415523826,False,False
3678561,(2014 OZ337),22.5,84.0533402073,187.9489824394,2024-04-19,1713497460000,40274263.07952999,64857.9250159225,False,False
3781983,(2017 SA20),28.36,5.6565935842,12.6485277754,2024-04-19,1713520080000,1464210.889195511,22293.6890092773,False,True
3788901,(2017 VE),26.6,12.7219878539,28.4472296503,2024-04-19,1713532620000,72301132.65013607,97353.1666062799,False,False
54016769,(2020 HW6),26.0,16.7708462163,37.5007521798,2024-04-19,1713504060000,8053168.200736989,21918.123572538,False,False
54144237,(2021 JW2),27.63,7.9168966694,17.7027191237,2024-04-19,1713516780000,623093.050374826,18331.904028743,False,True
54415876,(2023 XH8),22.91,69.5913043585,155.6108871884,2024-04-19,1713520740000,27810612.298076577,43199.3575240085,False,False
54432338,(2024 FT4),26.13,15.796285576,35.3215683399,2024-04-19,1713557520000,7387262.962649397,18804.3133866145,False,False
54432340,(2024 FU4),25.52,20.9196770901,46.7778200408,2024-04-19,1713498000000,7350520.274678058,27076.6030285463,False,False
54435202,(2024 HL),26.57,12.8989683343,28.8429700351,2024-04-19,1713570780000,1855105.426132393,70786.8912361306,False,False
54435207,(2024 HQ),29.42,3.4718022207,7.7631857698,2024-04-19,1713516840000,319050.66850214,27028.9771096173,False,True
54435730,(2024 GP7),27.68,7.7366860998,17.2997560398,2024-04-19,1713514440000,2842276.832297464,13007.9541870951,False,False
54486543,(2024 TH),24.58,32.2518756454,72.1173863449,2024-04-19,1713564660000,41535056.97845132,49572.7068273577,False,True
3457387,(2009 HD),22.92,69.271561359,154.8959201062,2024-04-13,1713022680000,12005543.985976135,36084.1377788312,False,False
3632244,(2013 ER89),20.21,241.2986969214,539.5602891983,2024-04-13,1713022980000,55524656.53814565,53378.0655990268,True,False
3831717,(2018 TD4),22.11,100.5900390178,224.9261651032,2024-04-13,1713023940000,48976978.90381708,64073.2083416294,False,False
3892194,(2019 UV13),20.77,186.44681832,416.9077599521,2024-04-13,1712986560000,62525921.85565538,103533.4884153884,False,False
54276986,(2022 HT3),20.91,174.8054531691,390.8768761237,2024-04-13,1713045360000,66022556.10742025,56690.1588040733,False,False
54429343,(2024 CH11),22.28,93.0154253961,207.9888141418,2024-04-13,1712998140000,16442292.601672271,35998.7176988729,False,False
54431988,(2024 FP3),26.09,16.089960451,35.9782453236,2024-04-13,1713028680000,1020285.657638708,22824.5726087494,False,False
54432477,(2024 GX),23.59,50.8809224871,113.773201439,2024-04-13,1713015960000,16534008.437806549,115652.7181712624,False,False
54433557,(2024 GT2),27.43,8.6807045791,19.4106455316,2024-04-13,1712988780000,876715.848770145,24403.6552660035,False,False
54433732,(2024 GV3),28.62,5.0182810059,11.2212174594,2024-04-13,1713008280000,510409.726379221,39354.2180694331,False,True
54434537,(2024 GG6),25.26,23.5806068,52.7278397554,2024-04-13,1713047760000,3370846.049638754,37851.3111296135,False,False
54438665,(2024 HB2),22.94,68.6364758671,153.4758257748,2024-04-13,1712996640000,43574401.14240113,15187.4284042369,False,False
54525116,(2025 FB14),21.81,115.4928175848,258.2497910326,2024-04-13,1713007440000,19252133.35452017,84722.1263821271,True,False
3331601,(2006 JF),19.64,313.7292249562,701.5198735305,2024-04-14,1713116640000,33884001.37468656,95427.8196531167,False,False
3471688,(2009 UL1),23.5,53.0340723319,118.5877908577,2024-04-14,1713067320000,28076630.192548405,86701.5584001806,False,False
3633127,(2013 FM9),23.8,46.1907460282,103.2856480504,2024-04-14,1713128640000,73015393.54468758,78578.7558810574,False,False
3713995,(2015 FJ35),24.1,40.2304579834,89.9580388169,2024-04-14,1713106980000,68319864.57947022,47318.4767133058,False,False
3840881,(2019 GO5),23.3,58.1507039646,130.0289270043,2024-04-14,1713094140000,27513377.367278244,28841.1724583747,False,False
54144924,(2021 JR4),25.07,25.7368254194,57.5492911629,2024-04-14,1713134580000,26471747.63906005,48550.7742810613,False,False
54430871,(2024 EM4),22.93,68.9532874451,154.1842379994,2024-04-14,1713126840000,14789640.785450837,36055.8252210416,False,False
54431818,(2024 FJ3),21.57,128.9896833431,288.4297003513,2024-04-14,1713135120000,61139479.76325447,30978.8377209268,False,False
54432456,(2024 GN),24.52,33.1554538086,74.1378485408,2024-04-14,1713068040000,13039001.691188984,33405.0040496052,False,False
54432841,(2024 GA1),24.11,40.0456158192,89.5447191727,2024-04-14,1713059940000,3642805.268396991,65223.9864665377,False,False
54432969,(2024 GF1),24.51,33.3084924299,74.4800533014,2024-04-14,1713099060000,19789949.485482328,48202.1179726918,False,False
54433333,(2024 GG2),24.23,37.8926498379,84.7305408852,2024-04-14,1713058620000,17824652.706753217,52717.9543028777,False,False
54433565,(2024 GB3),24.47,33.9277435382,75.8647408746,2024-04-14,1713069000000,7494892.63123981,61653.4889911456,False,False
54434340,(2024 GQ5),23.83,45.5569852336,101.8685158322,2024-04-14,1713136080000,27148690.62687028,66147.9588586598,False,False
54434345,(2024 GB6),27.28,9.3015425396,20.7988814142,2024-04-14,1713126540000,1796234.849541708,18566.0666051369,False,False
2662564,662564 (2006 JF),19.59,321.0369173714,717.8603705294,2024-04-14,1713116640000,33883990.977634594,95427.8298920048,False,False
54439421,(2024 HB3),23.9,44.1118199997,98.6370281305,2024-04-14,1713129360000,24418203.79488772,29198.3530788341,False,False
54482423,(2024 SH2),27.18,9.7399107341,21.7791024963,2024-04-14,1713116460000,70705391.33433323,27557.3624539796,False,False
2518737,518737 (2009 OO9),18.99,423.2090796502,946.324270793,2024-04-26,1714125060000,36248752.66551417,94564.0291989946,False,False
3673912,(2014 MC6),19.42,347.1802220654,776.3185769818,2024-04-26,1714090320000,27620721.244097807,69879.1377901507,False,False
3819747,(2018 JP),27.4,8.801465209,19.6806745089,2024-04-26,1714151940000,17995454.339490425,35896.7019485643,False,False
3893637,(2019 VF6),21.16,155.7955241278,348.36938254,2024-04-26,1714150440000,53804446.83246497,45083.7422137472,True,False
54431487,(2024 FT),21.16,155.7955241278,348.36938254,2024-04-26,1714130100000,34258109.93854499,27787.7464611286,False,False
54431629,(2024 FK2),21.77,117.639989374,263.0510131126,2024-04-26,1714095240000,16778559.247370392,44915.3833278715,False,False
54432245,(2024 FL4),21.61,126.6353562929,283.1652650258,2024-04-26,1714107720000,36364128.19765765,40081.981075488,False,False
54432463,(2024 FG5),25.04,26.0948603255,58.3498815511,2024-04-26,1714099440000,4803792.40518403,32622.3958164691,False,False
54433558,(2024 GU2),25.32,22.9379697996,51.2908597378,2024-04-26,1714093980000,10454817.432205422,21364.8170753027,False,False
54433943,(2024 GH4),22.32,91.3177025518,204.1925904549,2024-04-26,1714162200000,44714031.37311144,22233.4350625462,False,False
54434767,(2024 GP6),22.79,73.545308935,164.452310205,2024-04-26,1714104060000,26543742.27222818,40809.3643734638,False,False
54435201,(2024 HJ),21.0,167.7084621628,375.0075217981,2024-04-26,1714148640000,12808518.7661242,96984.9434426206,True,False
54437981,(2024 HL1),25.97,17.0041519271,38.0224396088,2024-04-26,1714095600000,163382.849967103,43564.6561605635,False,False
54438503,(2024 HT1),24.52,33.1554538086,74.1378485408,2024-04-26,1714133340000,359378.499347603,58969.5410530692,False,False
54439431,(2024 JA1),23.25,59.5052078631,133.0576897973,2024-04-26,1714162560000,14591351.845602596,68399.6574753432,False,False
54468786,(2024 RO4),23.43,54.7715430947,122.4728935923,2024-04-26,1714106520000,73425073.51999418,42730.6093529526,False,False
3836294,(2018 WE1),26.1,16.0160337979,35.8129403019,2024-04-20,1713573360000,64685535.06263403,87864.0493598536,False,False
54160170,(2021 LT6),22.55,82.1400525962,183.6707412805,2024-04-20,1713619680000,69762779.14972635,35375.172245569,False,False
54434536,(2024 GF6),26.85,11.3384836097,25.3536201132,2024-04-20,1713604740000,882025.885004943,29495.8953432951,False,True
54435208,(2024 HR),24.55,32.7005439282,73.1206391247,2024-04-20,1713643500000,7317956.558325808,63707.973355553,False,False
